object_id,total_tender_awarded_value
10-207-01097,6277348.0
10-208-01109,79013732.0
10-209-01116,415290367.0
10-211-01129,46935360.0
10-212-01151,37423074.0
10-215-01184,3484300.0
10-217-01224,29869426.0
10-225-01350,302817138.0
10-226-01358,6071718.0
10-226-01362,5291300.0
10-229-01387,270512200.0
10-229-01392,41886000.0
10-230-01398,62313916.0
10-234-01471,77665822.0
10-234-01475,500000000.0
10-235-01481,1032525000.0
10-236-01501,1230707.0
10-236-01505,782144000.0
10-238-01533,493019000.0
10-239-01536,2484960.0
