class,age,male,female
0,0 to 1,2011.99,1781.03
1,1 to 5,7709.22,6812.43
10,10 to 15,9523.78,8230.92
15,15 to 20,7893.37,5759.93
20,20 to 25,6780.95,5558.66
25,25 to 30,6328.57,5899.44
30,30 to 35,6420.24,6032.64
35,35 to 40,5783,5191.45
40,40 to 45,4741.3,4215.87
45,45 to 50,3887.04,3719.7
5,5 to 10,9798.47,8641.49
50,50 to 55,3430.57,3133.31
55,55 to 60,2971.5,3267.03
60,60 to 65,3130.16,2940.48
65,65 to 70,2590.79,2196.13
70,70 to 75,1426.04,1172.16
75,75 to 80,694.78,639.48
80,80 and over,602.33,652.06
